OBJECTID,SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
1,OKANAGAN RIVER,OKANAGAN RIVER,442,49.07597717,-119.517786,Stream,300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,310-000000-00000-00000-0000-0000-000-000-000-000-000-000,OKANAGAN_1.x,CK-1,CK,Current,48442,OK,ORWA,OK+ORWA
2,AHBAU CREEK,AHBAU CREEK,143,53.17461754,-122.4992091,Stream,100-478686-071246-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-07300-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47287,MFR,GStr,MFR+GStr
3,BAEZAEKO RIVER,BAEZAEKO RIVER,2455,53.13512263,-123.671478,Stream,100-500560-367242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,170-365800-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,44752,MFR,GStr,MFR+GStr
4,BAKER CREEK,BAKER CREEK,141,52.97297939,-122.5031667,Stream,100-458476-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-460500-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47267,MFR,GStr,MFR+GStr
5,BRIDGE RIVER,BRIDGE RIVER,133,50.74950978,-121.9315407,Stream,100-239855-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-241900-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47229,MFR,GStr,MFR+GStr
6,CARIBOO RIVER,CARIBOO RIVER,290,52.66253574,-121.6758417,Stream,100-458399-466616-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-466100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46892,MFR,GStr,MFR+GStr
7,CHILAKO RIVER,CHILAKO RIVER,296,53.88643599,-122.9782513,Stream,100-567134-069486-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-069000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46011,MFR,GStr,MFR+GStr
8,CHILCOTIN RIVER,CHILCOTIN RIVER,285,51.73995282,-122.4013093,Stream,100-342455-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-000000-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46842,MFR,GStr,MFR+GStr
9,CHURN CREEK,CHURN CREEK,138,51.51880747,-122.2828028,Stream,100-321833-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-324200-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47238,MFR,GStr,MFR+GStr
10,COTTONWOOD RIVER - UPPER,,2457,53.11670062,-122.611597,Stream Segment,100-478686-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,44772,MFR,GStr,MFR+GStr
11,DRIFTWOOD RIVER,DRIFTWOOD RIVER,344,55.69922334,-126.2517217,Stream,100-567134-179319-815989-532920-992397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,182-819600-63300-99200-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45599,MFR,GStr,MFR+GStr
12,ENDAKO RIVER,ENDAKO RIVER,299,54.04879696,-124.9058691,Stream,100-567134-374775-948201-023010-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-01900-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45510,MFR,GStr,MFR+GStr
13,HORSEFLY RIVER,HORSEFLY RIVER,291,52.46617345,-121.388553,Stream,100-458399-638146-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-635400-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,46901,MFR,GStr,MFR+GStr
14,LIGHTNING CREEK,LIGHTNING CREEK,144,53.01675821,-122.1130638,Stream,100-478686-388281-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-481100-38900-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47297,MFR,GStr,MFR+GStr
15,MCKINLEY CREEK,MCKINLEY CREEK,2401,52.28916108,-121.0699408,Stream,100-458399-638146-468647-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-635400-46400-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,45051,MFR,GStr,MFR+GStr
16,NARCOSLI CREEK,NARCOSLI CREEK,140,52.82196193,-122.4611347,Stream,100-444782-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-446700-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47257,MFR,GStr,MFR+GStr
17,NAVER CREEK,NAVER CREEK,145,53.43100794,-122.6588323,Stream,100-520500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-522900-00000-00000-0000-0000-000-000-000-000-000-000,MIDDLE FRASER RIVER_SP_1.3,CK-10,CK,Current,47307,MFR,GStr,MFR+GStr
