idRAMS,UOA,Date_Created,Date_Modified,RL,CU,WS,idUSERS,LF_ID,Ecosystem Unit,Life Stage,Life History Phase,Limiting Factor Category,Limiting Factor Subcategory,Life Stage and Life History Phase,Correlated LFs,Confidence,Level of Proof,Data Gaps,Spatial Scale,Temporal Scale,LIKELIHOOD,IMPACT,RISK,RISK CATEGORY,Current Trend,Future Trend,Future Biological Risk Category,Notes
1,,,,,,,4,1,Freshwater,Egg / Alevin,1 - Egg incubation,Direct Anthropogenic Interactions,Harassment and disturbance,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,2,Freshwater,Egg / Alevin,1 - Egg incubation,Biological Interactions,Competition,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,3,Freshwater,Egg / Alevin,1 - Egg incubation,Biological Interactions,"Parasites, pathogens, disease, harmful algae",1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,4,Freshwater,Egg / Alevin,1 - Egg incubation,Biological Interactions,Predation,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,5,Freshwater,Egg / Alevin,1 - Egg incubation,Physical Habitat ,Channel stability and form,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,6,Freshwater,Egg / Alevin,1 - Egg incubation,Hydrology & Oceanography,High flows,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,7,Freshwater,Egg / Alevin,1 - Egg incubation,Hydrology & Oceanography,Low flows,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,8,Freshwater,Egg / Alevin,1 - Egg incubation,Water Quality,Temperature,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,9,Freshwater,Egg / Alevin,1 - Egg incubation,Water Quality,Dissolved Oxygen,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,10,Freshwater,Egg / Alevin,1 - Egg incubation,Water Quality,"Chemistry (incl. turbidity, pH, salinity)",1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,11,Freshwater,Egg / Alevin,1 - Egg incubation,Water Quality,Contaminants and deleterious substances,1 - Freshwater egg incubation,,,,,,,,,,,,,,
1,,,,,,,4,12,Freshwater,Fry / Parr,2 - Juvenile rearing,Direct Anthropogenic Interactions,Harassment and disturbance,2 - Freshwater fry rearing,,,,,,,,,,,,,,
1,,,,,,,4,13,Freshwater,Fry / Parr,2 - Juvenile rearing,Biological Interactions,Competition,2 - Freshwater fry rearing,,,,,,,,,,,,,,
1,,,,,,,4,14,Freshwater,Fry / Parr,2 - Juvenile rearing,Biological Interactions,"Parasites, pathogens, disease, harmful algae",2 - Freshwater fry rearing,,,,,,,,,,,,,,
1,,,,,,,4,15,Freshwater,Fry / Parr,2 - Juvenile rearing,Biological Interactions,Predation,2 - Freshwater fry rearing,,,,,,,,,,,,,,
1,,,,,,,4,16,Freshwater,Fry / Parr,2 - Juvenile rearing,Biological Interactions,Prey and food,2 - Freshwater fry rearing,,,,,,,,,,,,,,
1,,,,,,,4,17,Freshwater,Fry / Parr,2 - Juvenile rearing,Physical Habitat ,Channel stability and form,2 - Freshwater fry rearing,,,,,,,,,,,,,,
