RAMS_ID,LF_ID,Spatial_Exposure,Temporal_Exposure,Exposure_Score,Impact,Risk_Score,Current_Trend,Future_Trend,Confidence,Proof,Notes
TEST1,1,1,2,,3,,4,5,1,1,This is an example note.
TEST1,2,2,3,,4,,5,1,2,2,This is another example note.
TEST1,3,3,4,,5,,1,2,3,3,"A third example note. 
With a paragraph (hopefully)"
TEST1,4,4,5,,1,,2,3,1,4,
TEST1,5,5,1,,2,,3,4,2,5,
TEST1,6,1,2,,3,,4,5,3,1,
TEST1,7,2,3,,4,,5,1,1,2,
TEST1,8,3,4,,5,,1,2,2,3,
TEST1,9,4,5,,1,,2,3,3,4,
TEST1,10,5,1,,2,,3,4,1,5,
TEST1,11,1,2,,3,,4,5,2,1,
TEST1,12,2,3,,4,,5,1,3,2,
TEST1,13,3,4,,5,,1,2,1,3,
TEST1,14,4,5,,1,,2,3,2,4,
TEST1,15,5,1,,2,,3,4,3,5,
TEST1,16,1,2,,3,,4,5,1,1,
TEST1,17,2,3,,4,,5,1,2,2,
TEST1,18,3,4,,5,,1,2,3,3,
TEST1,19,4,5,,1,,2,3,1,4,
TEST1,20,5,1,,2,,3,4,2,5,
TEST1,21,1,2,,3,,4,5,3,1,
TEST1,22,2,3,,4,,5,1,1,2,
TEST1,23,3,4,,5,,1,2,2,3,
TEST1,24,4,5,,1,,2,3,3,4,
TEST1,25,5,1,,2,,3,4,1,5,
TEST1,26,1,2,,3,,4,5,2,1,
TEST1,27,2,3,,4,,5,1,3,2,
TEST1,28,3,4,,5,,1,2,1,3,
TEST1,29,4,5,,1,,2,3,2,4,
TEST1,30,5,1,,2,,3,4,3,5,
TEST1,31,1,2,,3,,4,5,1,1,
TEST1,32,2,3,,4,,5,1,2,2,
TEST1,33,3,4,,5,,1,2,3,3,
TEST1,34,4,5,,1,,2,3,1,4,
TEST1,37,5,1,,2,,3,4,2,5,
TEST1,38,1,2,,3,,4,5,3,1,
TEST1,39,2,3,,4,,5,1,1,2,
TEST1,40,3,4,,5,,1,2,2,3,
TEST1,41,4,5,,1,,2,3,3,4,
TEST1,42,5,1,,2,,3,4,1,5,
TEST1,43,1,2,,3,,4,5,2,1,
TEST1,44,2,3,,4,,5,1,3,2,
TEST1,45,3,4,,5,,1,2,1,3,
TEST1,46,4,5,,1,,2,3,2,4,
TEST1,47,5,1,,2,,3,4,3,5,
TEST1,48,1,2,,3,,4,5,1,1,
TEST1,49,2,3,,4,,5,1,2,2,
TEST1,50,3,4,,5,,1,2,3,3,
TEST1,51,4,5,,1,,2,3,1,4,
TEST1,52,5,1,,2,,3,4,2,5,
TEST1,53,1,2,,3,,4,5,3,1,
TEST1,54,2,3,,4,,5,1,1,2,
TEST1,55,3,4,,5,,1,2,2,3,
TEST1,56,4,5,,1,,2,3,3,4,
TEST1,57,5,1,,2,,3,4,1,5,
TEST1,58,1,2,,3,,4,5,2,1,
TEST1,59,2,3,,4,,5,1,3,2,
TEST1,60,3,4,,5,,1,2,1,3,
TEST1,61,4,5,,1,,2,3,2,4,
TEST1,62,5,1,,2,,3,4,3,5,
TEST1,63,1,2,,3,,4,5,1,1,
TEST1,64,2,3,,4,,5,1,2,2,
TEST1,65,3,4,,5,,1,2,3,3,
TEST1,66,4,5,,1,,2,3,1,4,
TEST1,67,5,1,,2,,3,4,2,5,
TEST1,68,1,2,,3,,4,5,3,1,
TEST1,69,2,3,,4,,5,1,1,2,
TEST1,70,3,4,,5,,1,2,2,3,
TEST1,71,4,5,,1,,2,3,3,4,
TEST1,72,5,1,,2,,3,4,1,5,
TEST1,73,1,2,,3,,4,5,2,1,
TEST1,74,2,3,,4,,5,1,3,2,
TEST1,75,3,4,,5,,1,2,1,3,
TEST1,76,4,5,,1,,2,3,2,4,
TEST1,77,5,1,,2,,3,4,3,5,
